"","permno","permco","namedt","nameenddt","cusip","ncusip","ticker","comnam","hexcd","exchcd","siccd","shrcd","shrcls","st_date","end_date","namedum"
"170",10082,5793,1992-12-15,1995-09-28,"00087230","00087230","ACSE","A C S ENTERPRISES",3,3,4840,11,NA,1983-03-31,1995-09-29,2
"29289",76276,5817,2006-03-20,2007-08-09,"00087B10","00087B10","BRR","A C R GROUP INC",2,2,5075,11,NA,1983-02-28,2007-08-31,2
"39944",85800,15955,1999-09-07,2000-07-05,"00087X10","00087X10","AYS","ACSYS INC",2,2,7363,11,NA,1998-02-27,2000-07-31,2
"35336",81238,13571,1995-02-14,1996-10-08,"00088510","00088510","ADCO","A D C O TECHNOLOGIES INC",3,3,2890,11,NA,1995-02-28,1996-10-31,2
"20747",50906,2902,2005-05-10,2010-12-09,"00088630","00088630","ADCT","A D C TELECOMMUNICATIONS INC",3,3,3660,11,NA,1979-03-30,2010-12-31,2
"29311",76290,10587,1995-05-12,2003-06-30,"00088E10","00088E10","IATV","A C T V INC",3,3,3663,11,NA,1990-05-31,2003-06-30,2
"36417",82544,14114,2001-07-31,2011-02-07,"00088U10","00088U10","ADAM","A D A M INC",3,3,2731,11,NA,1995-11-30,2011-02-28,2
"31245",77510,11463,1992-04-14,1995-06-30,"00089210","00089210","SOLD","ADESA CORP",3,3,5010,11,NA,1992-04-30,1995-06-30,2
"6494",15056,55102,2014-11-10,2018-06-29,"00089910","00089910","ADMA","ADMA BIOLOGICS INC",3,3,8731,11,NA,2014-11-28,2018-06-29,2
"36293",82467,14062,1995-10-18,2006-10-11,"00089C10","00089C10","ADEX","A D E CORP MASS",3,3,3820,11,NA,1995-10-31,2006-10-31,2
"7974",17223,56212,2018-01-19,2018-06-29,"00090Q10","00090Q10","ADT","A D T INC",1,1,0,11,NA,2018-01-31,2018-06-29,2
"32948",79367,12252,1993-07-01,1999-03-29,"00094410","00094410","AERN","A E R ENERGY RES INC",3,3,3690,11,NA,1993-07-30,1999-03-31,2
"33701",79934,12690,1993-12-16,1999-11-22,"00095010","00095010","AFCX","A F C CABLE SYSTEMS INC",3,3,3350,11,NA,1993-12-31,1999-11-30,2
"37184",83347,14421,1996-04-17,2005-11-16,"00095510","00095510","ACTT","A C T TELECONFERENCING INC",3,3,7380,11,NA,1996-04-30,2005-11-30,2
"19807",47730,20068,1994-03-17,2018-06-29,"00095710","00095710","ABM","A B M INDUSTRIES INC",1,1,7349,11,NA,1969-02-28,2018-06-29,2
"35459",81470,13638,1995-03-30,2001-12-24,"00097310","00097310","ACTM","A C T MANUFACTURING INC",3,3,3670,11,NA,1995-03-31,2001-12-31,2
"35639",81599,13703,1995-05-03,2000-08-10,"00097510","00097510","ANET","A C T NETWORKS INC",3,3,3660,11,NA,1995-05-31,2000-08-31,2
"38104",84043,15059,1996-10-21,1999-06-10,"00098110","00098110","ACIT","A C I TELECENTRICS INC",3,3,7380,11,NA,1996-10-31,1999-06-30,2
"29312",76291,10683,1990-07-19,1998-12-16,"00100410","00100410","ADMT","A D M TRONICS UNLIMITED",3,3,2810,10,NA,1990-07-31,1998-12-31,2
"5234",13567,54174,2012-10-01,2016-04-29,"00101J10","00101J10","ADT","A D T CORP",1,1,7381,11,NA,2012-10-31,2016-04-29,2
"322",10154,81,1976-10-01,1996-02-22,"00103010","00103010","AELNA","A E L INDUSTRIES INC",3,3,3662,11,"A",1972-12-29,1996-02-29,2
"53",10025,7975,1986-01-30,2017-01-20,"00103110","00103110","AEPI","A E P INDUSTRIES INC",3,3,3070,11,NA,1986-01-31,2017-01-31,2
"38645",84509,15335,2002-08-09,2004-08-18,"00104G10","00104G10","AESP","A E S P INC",3,3,3577,11,NA,1997-02-28,2004-08-31,2
"22807",57904,92,1992-01-02,2018-06-29,"00105510","00105510","AFL","AFLAC INC",1,1,6321,11,NA,1973-08-31,2018-06-29,2
"3046",11575,9401,1991-01-22,1993-01-19,"00105720","00105720","AMFN","A F N INC",3,3,7370,10,NA,1987-08-31,1993-01-29,2
"443",10218,109,1982-11-29,1999-03-19,"00105810","00105810","AFPC","A F P IMAGING CORP",3,3,3860,10,NA,1980-10-31,1999-03-31,2
"38112",84048,14999,1996-10-01,1998-11-12,"00106110","00106110","AFED","A F S A L A BANCORP INC",3,3,6710,11,NA,1996-10-31,1998-11-30,2
"35638",81597,13727,1995-05-16,1999-03-02,"00107310","00107310","AGAI","A G ASSOCIATES INC",3,3,3550,11,NA,1995-05-31,1999-03-31,2
"29308",76289,10569,1990-10-23,1999-01-13,"00107710","00107710","AGBG","A G BAG INTERNATIONAL LTD",3,3,3520,10,NA,1990-04-30,1999-01-29,2
"31267",77520,11473,2009-05-04,2018-06-29,"00108410","00108410","AGCO","A G C O CORP",1,1,3523,11,NA,1992-04-30,2018-06-29,2
"7881",17045,56128,2017-11-03,2018-06-29,"00108J10","00108J10","ACMR","A C M RESEARCH INC",3,3,9999,11,"A",2017-11-30,2018-06-29,2
"24965",63829,4897,2014-10-30,2016-12-08,"00108M10","00108M10","WGA","A G & E HOLDINGS INC",2,2,3679,11,NA,1972-12-29,2016-12-30,2
"6886",15553,116,2011-12-16,2016-06-30,"00120410","00120410","GAS","A G L RESOURCES INC",1,1,4924,11,NA,1972-12-29,2016-06-30,2
"31811",77983,11742,1992-11-09,1996-01-31,"00123010","00123010","AGPC","A G P & CO INC",3,3,3080,11,NA,1992-10-30,1996-01-31,2
"30115",76774,11063,1996-12-11,2003-12-31,"00125010","00125010","ASV","AG SERVICES OF AMERICA INC",1,1,6159,11,NA,1991-08-30,2003-12-31,2
"46139",92528,52924,2008-02-11,2018-06-29,"00128210","00128210","AHC","A H BELO CORP",1,1,2711,11,"A",2008-02-29,2018-06-29,2
"36179",82249,14002,1995-09-29,1997-03-17,"00129010","00129010","AHIS","A H I HEALTHCARE SYSTEMS INC",3,3,8090,11,NA,1995-09-29,1997-03-31,2
"38769",84595,15411,1997-03-27,2003-08-21,"00129610","00129610","AHLS","A H L SERVICES INC",3,3,7380,11,NA,1997-03-31,2003-08-29,2
"4008",12113,9994,2004-05-14,2007-03-21,"00130310","00130310","GLOV","A H P C HOLDINGS INC",3,3,8070,11,NA,1988-10-31,2007-03-30,2
"30029",76712,10996,1996-10-16,2018-06-29,"00130H10","00130H10","AES","A E S CORP",1,1,4911,11,NA,1991-06-28,2018-06-29,2
"38108",84045,15013,1999-07-02,2000-09-22,"00130R10","00130R10","AHTC","A H T CORP",3,3,8090,11,NA,1996-10-31,2000-09-29,2
"34160",80303,12961,1995-04-05,2018-06-29,"00154710","00154710","AKS","A K STEEL HOLDING CORP",1,1,3325,11,NA,1994-03-31,2018-06-29,2
"39090",85033,5931,1991-09-04,1995-08-16,"00157530","00157530","ALC","A L C COMMUNICATIONS CORP",2,2,4813,11,NA,1983-04-29,1995-08-31,2
"34995",80971,13401,2012-07-06,2014-10-21,"00160010","00160010","ALCS","ALCO STORES INC",3,3,5399,11,NA,1994-10-31,2014-10-31,2
"7226",16052,55563,2016-05-11,2018-06-29,"00162710","00162710","ALJJ","A L J REGIONAL HOLDINGS INC",3,3,9999,11,NA,2016-05-31,2018-06-29,2
"748",10363,8284,2007-07-25,2018-06-29,"00163U10","00163U10","AMAG","A M A G PHARMACEUTICALS INC",3,3,2834,11,NA,1986-06-30,2018-06-29,2
"4758",12880,53816,2011-07-01,2018-06-29,"00164V10","00164V10","AMCX","A M C NETWORKS INC",3,3,9999,11,"A",2011-07-29,2018-06-29,2
"5867",14328,54665,2013-12-18,2018-06-29,"00165C10","00165C10","AMC","A M C ENTERTAINMENT HOLDINGS IN",1,1,7832,11,"A",2013-12-31,2018-06-29,2
"25901",66413,6301,1984-08-21,2004-12-23,"00166910","00166910","AEN","A M C ENTERTAINMENT INC",2,2,7832,11,NA,1983-08-31,2004-12-31,2
"32717",79163,12125,1999-07-14,2000-08-30,"00169310","00169310","AFM","A M F M INC",1,1,4832,11,NA,1993-05-28,2000-08-31,2
"39302",85245,32038,2005-01-04,2010-04-28,"00171210","00171210","AMCS","AMICAS INC",3,3,7371,11,NA,1997-07-31,2010-04-30,2
"8779",18980,20009,1987-02-20,1993-05-19,"00172320","00172320","AM","A M INTERNATIONAL INC",1,1,5081,11,NA,1930-06-30,1993-05-28,2
"36575",82667,14207,1995-12-12,2002-08-20,"00173310","00173310","AMLJ","A M L COMMUNICATIONS INC",3,3,3660,11,NA,1995-12-29,2002-08-30,2
"43395",89215,42400,2016-10-27,2018-06-29,"00174410","00174410","AMN","A M N HEALTHCARE SERVICES INC",1,1,8742,11,NA,2001-11-30,2018-06-29,2
"39604",85523,15809,2004-09-10,2007-09-18,"00178W10","00178W10","AMM","A M S HEALTH SCIENCES INC",2,2,5122,11,NA,1997-11-28,2007-09-28,2
"36425",82549,14133,2001-08-30,2005-04-08,"00180C10","00180C10","AMXC","A M X CORP",3,3,3670,11,NA,1995-11-30,2005-04-29,2
"42614",88323,37698,2000-06-21,2001-11-12,"00181310","00181310","ANCX","ANC RENTAL CORP",3,3,7510,11,NA,2000-06-30,2001-11-30,2
"40886",86710,16411,2002-12-24,2003-03-26,"00181E10","00181E10","ANFI","A N F I INC",3,3,6361,11,NA,1999-02-26,2003-03-31,2
"6042",14532,54780,2014-03-17,2018-06-29,"00181T10","00181T10","AMRK","A MARK PRECIOUS METALS INC",3,3,9999,11,NA,2014-03-31,2018-06-29,2
"43901",89875,44505,2013-07-18,2018-06-29,"00182C10","00182C10","ANIP","A N I PHARMACEUTICALS INC",3,3,2836,11,NA,2003-10-31,2018-06-29,2
"26417",68208,20011,1985-12-10,1993-11-17,"00183210","00183210","AOI","A O I COAL COMPANY",2,2,5052,11,NA,1985-12-31,1993-11-30,2
"7794",16921,56057,2017-10-02,2018-06-29,"00183L10","00183L10","ANGI","ANGI HOMESERVICES INC",3,3,9999,11,"A",2017-10-31,2018-06-29,2
"46484",93091,53258,2009-12-10,2015-06-22,"00184X10","00184X10","AOL","A O L INC",1,1,7374,11,NA,2009-12-31,2015-06-30,2
"36296",82471,14039,1995-10-11,2011-10-14,"00185E10","00185E10","APAC","A P A C CUSTOMER SERVICES INC",3,3,7380,11,NA,1995-10-31,2011-10-31,2
"4759",12881,53817,2011-06-27,2016-04-22,"00187E20","00187E20","ATNY","A P I TECHNOLOGIES CORP",3,3,1000,11,NA,2011-06-30,2016-04-29,2
"883",10429,5118,1992-11-27,1994-09-20,"00190310","00190310","ASKI","ASK GROUP INC",3,3,7372,11,NA,1981-10-30,1994-09-30,2
"39106",85041,7357,1984-12-20,1997-08-12,"00190710","00190710","ASTA","A S T RESEARCH INC",3,3,3573,11,NA,1984-12-31,1997-08-29,2
"863",10418,8336,2003-06-02,2004-11-12,"00191230","00191230","ASAA","A S A INTERNATIONAL LTD",3,3,7372,11,NA,1986-06-30,2004-11-30,2
"44542",90548,46146,2013-01-02,2018-06-29,"00191G10","00191G10","ARC","A R C DOCUMENTS SOLUTIONS INC",1,1,7338,11,NA,2005-02-28,2018-06-29,2
"31749",77917,11713,2018-04-02,2018-06-29,"00191U10","00191U10","ASGN","ASGN INC",1,1,7363,11,NA,1992-09-30,2018-06-29,2
"27798",75106,20014,1987-09-29,1998-07-28,"00192010","00192010","RCM","A R C O CHEMICAL CO",1,1,5161,11,NA,1987-09-30,1998-07-31,2
"30247",76877,10890,1991-04-16,2000-03-10,"00192610","00192610","ANBC","A N B CORP",3,3,6710,11,NA,1991-04-30,2000-03-31,2
"30621",77082,11208,2013-12-09,2017-08-29,"00193020","00193020","ARIS","A R I NETWORK SERVICES INC",3,3,7372,11,NA,1991-11-29,2017-08-31,2
"33187",79566,12426,1993-09-23,1995-04-05,"00193610","00193610","APOD","A PEA IN THE POD INC",3,3,5620,11,NA,1993-09-30,1995-04-28,2
"33188",79567,12431,1993-09-24,1998-03-31,"00193710","00193710","APSI","APS HOLDING CORP",3,3,5010,11,NA,1993-09-30,1998-03-31,2
"39125",85055,30062,1998-04-28,1999-08-25,"00194410","00194410","ARM","A R M FINANCIAL GROUP INC",1,1,6411,11,"A",1997-06-30,1999-08-31,2
"40940",86746,20103,1999-03-10,2001-08-09,"00195720","00195720","LMG","A T & T CORP",1,1,4812,11,"A",1999-03-31,2001-08-31,2
"40941",86747,20103,1999-03-10,2001-08-09,"00195730","00195730","LMG","A T & T CORP",1,1,4812,11,"B",1999-03-31,2001-08-31,2
"42294",87831,20103,2000-04-27,2001-07-06,"00195740","00195740","AWE","A T & T CORP",1,1,4812,11,NA,2000-04-28,2001-07-31,2
"830",10401,20103,2002-11-19,2005-11-18,"00195750","00195750","T","A T & T CORP",1,1,4813,11,NA,1925-12-31,2005-11-30,2
"34775",80798,13255,1994-08-11,2008-03-03,"00196310","00196310","ASVI","A S V INC",3,3,3530,11,NA,1994-08-31,2008-03-31,2
"37189",83350,14487,1996-04-01,2004-12-31,"00198410","00198410","AMFC","A M B FINANCIAL CORP",3,3,6030,11,NA,1996-04-30,2004-12-31,2
"38956",84790,15467,1997-05-13,1999-02-23,"00198810","00198810","ASDG","A S D GROUP INC",3,3,8710,11,NA,1997-05-30,1999-02-26,2
"43438",89265,42536,2007-11-14,2008-09-10,"00202H10","00202H10","APPX","A P P PHARMACEUTICALS INC",3,3,2834,11,NA,2001-12-31,2008-09-30,2
"25472",65111,20096,1996-06-03,1997-11-12,"00202M10","00202M10","APL","A P L LTD",1,1,6321,11,NA,1983-09-30,1997-11-28,2
"33065",79466,12373,1995-10-25,1996-11-15,"00203310","00203310","ACOM","A PLUS NETWORK INC",3,3,4810,11,NA,1993-08-31,1996-11-29,2
"36302",82474,14061,1997-11-10,2003-04-23,"00204C10","00204C10","SRS","A R V ASSISTED LIVING INC",2,2,8361,11,NA,1995-10-31,2003-04-30,2
"738",10358,8279,1993-07-23,1995-09-12,"00204W10","00204W10","ARI","ARI HOLDINGS INC",2,2,6331,11,NA,1986-06-30,1995-09-29,2
"35643",81601,13720,1995-05-11,2005-07-08,"00205P10","00205P10","ASBP","A S B FINANCIAL CORP OH",3,3,6710,11,NA,1995-05-31,2005-07-29,2
"27",10011,9813,1996-10-18,1998-02-06,"00206710","00206710","ATCS","A T C GROUP SERVICES INC",3,3,7390,11,NA,1988-06-30,1998-02-27,2
"38851",84720,15437,1997-04-16,2001-05-09,"00206F10","00206F10","ASIS","A S I SOLUTIONS INC",3,3,8980,11,NA,1997-04-30,2001-05-31,2
"33063",79462,28959,1993-07-28,1996-10-01,"00206J10","00206J10","TCC","A T & T CAPITAL CORP",1,1,7359,11,NA,1993-07-30,1996-10-31,2
"40232",86049,16092,1998-05-07,2001-11-19,"00206P10","00206P10","ATGC","A T G INC",3,3,4950,11,NA,1998-05-29,2001-11-30,2
"25777",66093,21645,2005-12-01,2018-06-29,"00206R10","00206R10","T","A T & T INC",1,1,4813,11,NA,1984-02-29,2018-06-29,2
"29803",76545,28930,1994-08-24,1994-12-21,"00207B20","00207B20","ATCI","A T C II INC",3,3,7820,11,NA,1985-11-29,1994-12-30,2
"38776",84598,15375,1997-03-07,1998-09-25,"00207M10","00207M10","ATLPA","A T L PRODUCTS INC",3,3,3570,11,"A",1997-03-31,1998-09-30,2
"1923",11000,8872,1997-07-18,1998-10-02,"00207N10","00207N10","ATLI","A T L ULTRASOUND INC",3,3,3840,11,NA,1987-01-30,1998-10-30,2
"33531",79799,12606,1997-10-14,2014-04-29,"00207R10","00207R10","ATMI","ATMI INC",3,3,3670,11,NA,1993-11-30,2014-04-30,2
"29481",76367,10639,1992-05-26,2010-08-12,"00208310","00208310","ATSI","A T S MEDICAL INC",3,3,2830,11,NA,1990-06-29,2010-08-31,2
"43177",88906,41266,2001-02-06,2012-08-28,"00208J10","00208J10","ATPG","A T P OIL & GAS CORP",3,3,1311,11,NA,2001-02-28,2012-08-31,2
"86",10039,7987,2000-04-03,2001-06-26,"00208K10","00208K10","ATCM","AT COMM CORP",3,3,7370,10,NA,1986-02-28,2001-06-29,2
"43267",89001,41670,2001-07-09,2004-10-26,"00209A10","00209A10","AWE","A T & T WIRELESS SVCS INC",1,1,4812,11,NA,2001-07-31,2004-10-29,2
"28077",75433,6387,2002-03-19,2008-03-20,"00209C10","00209C10","AHN","A T C HEALTHCARE INC",2,2,7363,11,NA,1983-09-30,2008-03-31,2
"42002",87577,36756,2001-03-29,2003-01-14,"00209G10","00209G10","AI","A T S I COMMUNICATIONS INC",2,2,4813,11,NA,2000-02-29,2003-01-31,2
"32690",79149,12123,2002-07-01,2004-11-04,"00209H10","00209H10","ATAH","A T A HOLDINGS CORP",3,3,4520,11,NA,1993-05-28,2004-11-30,2
"43594",89446,34872,2002-07-18,2002-08-15,"00211310","00211310","COMM","A T X COMMUNICATIONS INC",3,3,4813,11,NA,2002-07-31,2002-08-30,2
"46551",93197,53316,2010-01-05,2012-03-30,"00211E10","00211E10","ATSC","A T S CORP",2,2,7373,11,NA,2010-01-29,2012-03-30,2
"38447",84291,15233,2008-06-03,2010-10-22,"00211W10","00211W10","ATAC","A T C TECHNOLOGY CORP",3,3,3714,11,NA,1996-12-31,2010-10-29,2
"39350",85293,15638,2015-09-04,2018-06-29,"00211Y40","00211Y40","ABIO","ARCA BIOPHARMA INC",3,3,2830,11,NA,1997-08-29,2018-06-29,2
"6746",15378,55276,2015-05-07,2018-06-29,"00212010","00212010","LIFE","ATYR PHARMA INC",3,3,9999,11,NA,2015-05-29,2018-06-29,2
"6008",14495,54756,2014-03-21,2018-06-29,"00212110","00212110","ATEN","A10 NETWORKS INC",1,1,3695,11,NA,2014-03-31,2018-06-29,2
"45670",91954,52129,2012-08-08,2018-06-29,"00213H10","00213H10","ARCW","ARC GROUP WORLDWIDE INC",3,3,3663,11,NA,2007-04-30,2018-06-29,2
"43806",89761,44123,2012-01-30,2012-12-14,"00213J10","00213J10","ATC","A T C VENTURES GROUP INC",2,2,3714,11,NA,2003-06-30,2012-12-31,2
"4861",13036,53897,2011-10-12,2017-09-29,"00213T10","00213T10","ASBB","A S B BANCORP INC",3,3,9999,11,NA,2011-10-31,2017-09-29,2
"30636",77090,11204,2016-06-21,2018-06-29,"00215F10","00215F10","ATNI","A T N INTERNATIONAL INC",3,3,4813,11,NA,1991-11-29,2018-06-29,2
"7654",16700,55934,2017-05-12,2018-06-29,"00215L10","00215L10","ASV","A S V HOLDINGS INC",3,3,9999,11,NA,2017-05-31,2018-06-29,2
"7218",16030,421,2012-02-16,2018-06-29,"00234P10","00234P10","AVHI","A V HOMES INC",3,3,6552,11,NA,1981-01-30,2018-06-29,2
"35970",81912,30930,1995-08-15,2018-06-29,"00244410","00244410","AVX","A V X CORP NEW",1,1,3675,11,NA,1995-08-31,2018-06-29,2
"998",10496,422,1981-03-09,1996-08-28,"00244810","00244810","AWCSA","A W COMPUTER SYSTEMS INC",3,3,7372,11,"A",1981-03-31,1996-08-30,2
"31610",77815,29527,1999-09-07,2001-01-02,"00245110","00245110","AXF","A X A FINANCIAL INC",1,1,6311,11,NA,1992-07-31,2001-01-31,2
"44074",90060,44964,2004-03-03,2006-06-09,"00245710","00245710","AXJ","A X M PHARMA INC",2,2,7375,11,NA,2004-03-31,2006-06-30,2
"36039",82168,13959,2000-11-02,2007-11-05,"00245810","00245810","AXO","A X S ONE INC",2,2,7372,11,NA,1995-08-31,2007-11-30,2
"40236",86051,16121,2000-08-22,2018-06-29,"00246W10","00246W10","AXTI","A X T INC",3,3,3674,11,NA,1998-05-29,2018-06-29,2
"7278",16126,430,2000-08-14,2018-06-29,"00247410","00247410","AZZ","A Z Z INC",1,1,3533,11,NA,1972-12-29,2018-06-29,2
"37959",83918,14965,2000-11-30,2005-04-15,"00252W10","00252W10","AAII","AAIPHARMA INC",3,3,8071,11,NA,1996-09-30,2005-04-29,2
"31893",78049,5674,2009-04-20,2010-12-10,"00253520","00253520","AAN","AARONS INC",1,1,5722,11,NA,1992-11-30,2010-12-31,2
"1029",10517,5674,2009-04-20,2018-06-29,"00253530","00253530","AAN","AARONS INC",1,1,5722,11,"A",1982-11-30,2018-06-29,2
"36779",82807,14320,1996-01-30,2000-02-02,"00253910","00253910","AATT","AAVID THERMAL TECHNOLOGIES INC",3,3,3670,11,NA,1996-01-31,2000-02-29,2
"30698",77162,11230,2000-04-14,2001-11-14,"00253A30","00253A30","AAM","AAMES FINANCIAL CORP",1,1,6163,11,NA,1991-12-31,2001-11-30,2
"37961",83920,14979,1996-09-27,1999-11-23,"00255310","00255310","ABDR","ABACUS DIRECT CORP",3,3,7330,11,NA,1996-09-30,1999-11-30,2
"28499",75721,10133,1999-08-02,2007-09-14,"00256410","00256410","ABIX","ABATIX CORP",3,3,5190,11,NA,1989-03-31,2007-09-28,2
"30898",77279,11309,1992-01-23,2018-06-29,"00256710","00256710","ABAX","ABAXIS INC",3,3,3840,11,NA,1992-01-31,2018-06-29,2
"31021",77360,11367,1992-02-28,1995-06-28,"00278610","00278610","ABBY","ABBEY HEALTHCARE GROUP INC",3,3,8090,11,NA,1992-02-28,1995-06-30,2
"9392",20482,20017,1968-01-02,2018-06-29,"00282410","00282410","ABT","ABBOTT LABORATORIES",1,1,2834,11,NA,1937-03-31,2018-06-29,2
"5356",13721,54287,2013-01-02,2018-06-29,"00287Y10","00287Y10","ABBV","ABBVIE INC",1,1,2834,11,NA,2013-01-31,2018-06-29,2
"38035",83976,22200,1996-09-26,2018-06-29,"00289620","00289620","ANF","ABERCROMBIE & FITCH CO",1,1,5941,11,"A",1996-09-30,2018-06-29,2
"42145",87656,36949,2015-06-22,2018-06-29,"00289Y10","00289Y10","ABEO","ABEONA THERAPEUTICS INC",3,3,8731,11,NA,2000-03-31,2018-06-29,2
"31607",77813,29520,1992-07-17,1995-06-15,"00338710","00338710","ABE","ABEX INC",1,1,3728,11,NA,1992-07-31,1995-06-30,2
"37689",83729,14811,1996-07-12,2009-09-30,"00339010","00339010","AANB","ABIGAIL ADAMS NATL BANCORP INC",3,3,6710,11,NA,1996-07-31,2009-09-30,2
"40478",86235,16195,1998-07-02,2006-03-31,"00339B10","00339B10","ABGX","ABGENIX INC",3,3,2836,11,NA,1998-07-31,2006-03-31,2
"44456",90467,45990,2007-06-28,2011-09-30,"00350L10","00350L10","ABBC","ABINGTON BANCORP INC PA",3,3,6036,11,NA,2004-12-31,2011-09-30,2
"698",10341,8264,1997-01-31,2004-04-28,"00350P10","00350P10","ABBK","ABINGTON BANCORP INC NEW",3,3,6020,11,NA,1986-06-30,2004-04-30,2
"27800",75107,20018,1992-08-31,2018-06-29,"00365410","00365410","ABMD","ABIOMED INC",3,3,3840,11,NA,1987-07-31,2018-06-29,2
"25789",66130,20325,2007-10-29,2009-04-15,"00368710","00368710","ABH","ABITIBIBOWATER INC",1,1,2621,11,NA,1984-05-31,2009-04-30,2
"41185",86952,16599,1999-06-22,2006-10-12,"00370910","00370910","ABLE","ABLE ENERGY INC",3,3,5980,11,NA,1999-06-30,2006-10-31,2
"34042",80220,12887,1994-02-28,2000-10-09,"00371230","00371230","ABTE","ABLE TELECOM HOLDING CORP",3,3,1730,11,NA,1994-02-28,2000-10-31,2
"43665",89559,10716,2002-11-19,2005-07-27,"00371N40","00371N40","ABRX","ABLE LABORATORIES INC",3,3,2835,11,NA,2002-11-29,2005-07-29,2
"17583",41444,876,2000-11-20,2007-06-08,"00371W10","00371W10","AIH","ABLEST INC",2,2,1799,11,NA,1972-12-29,2007-06-29,2
"41001",86795,35020,1999-05-20,2001-02-28,"00373610","00373610","BOUT","ABOUT COM INC",3,3,7370,11,NA,1999-03-31,2001-02-28,2
"40738",86487,16342,1998-12-10,1999-09-08,"00374310","00374310","ABOV","ABOVENET COMMUNICATIONS INC",3,3,4810,11,NA,1998-12-31,1999-09-30,2
"46376",92923,53144,2009-05-12,2012-06-29,"00374N10","00374N10","ABVT","ABOVENET INC",1,1,4899,11,NA,2009-05-29,2012-06-29,2
"30271",76888,10924,2008-07-25,2018-06-29,"00383010","00383010","AXAS","ABRAXAS PETROLEUM CORP",3,3,1311,11,NA,1991-05-31,2018-06-29,2
"46001",92381,52822,2007-11-14,2010-10-15,"00383Y10","00383Y10","ABII","ABRAXIS BIOSCIENCE INC NEW",3,3,2834,11,NA,2007-11-30,2010-10-29,2
"32594",79068,12110,1993-04-30,1994-10-26,"00386310","00386310","ABSO","ABSOLUTE ENTERTAINMENT INC",3,3,7372,11,NA,1993-04-30,1994-10-31,2
"37690",83730,14801,1996-07-08,2002-12-13,"00388110","00388110","ACRI","ACACIA RESEARCH CORP",3,3,6280,11,NA,1996-07-31,2002-12-31,2
"43704",89613,14801,2002-12-16,2007-08-14,"00388120","00388120","CBMX","ACACIA RESEARCH CORP",3,3,6282,11,NA,2002-12-31,2007-08-31,2
"43701",89611,14801,2002-12-16,2018-06-29,"00388130","00388130","ACTG","ACACIA RESEARCH CORP",3,3,6282,11,NA,2002-12-31,2018-06-29,2
"7225",16051,55562,2016-05-13,2018-06-29,"00401C10","00401C10","ACIA","ACACIA COMMUNICATIONS INC",3,3,9999,11,NA,2016-05-31,2018-06-29,2
