"","crsp_fundno","wficn","fundno","cusip8","ticker","fund_name","tna_latest_dt","tna_latest","num_holdings","mgmt_name","et_flag","nav_latest_dt","nav_latest","first_offer_dt","per_com","per_pref","per_conv","per_corp","per_muni","per_govt","per_oth","per_cash","per_bond","per_abs","per_mbs","per_eq_oth","per_fi_oth","open_to_inv","retail_fund","inst_fund","index_fund_flag","dead_flag","delist_cd","crsp_obj_cd","lipper_obj_cd","lipper_obj_name","lipper_class","lipper_class_name","si_obj_cd","wbrger_obj_cd","lipper_asset_cd","country"
"33",16452,500109,5677,"46428765","IWM","iShares Trust: iShares Russell 2000 ETF",2018-03-29,42153.7,1967,"BlackRock Fund Advisors","F",2018-03-29,151.96,2000-05-22,99.75,0,0,0,0,0,0.13,0.11,0,0,0,0.01,0,"Y","N","Y","D","N",NA,"EDCS","SG","SMALL-CAP FUNDS","SCCE","Small-Cap Core Funds",NA,NA,"EQ","UNITED STATES"
"103",16448,500596,56805,"46428761","IWF","iShares Trust: iShares Russell 1000 Growth ETF",2018-03-29,39853.3,651,"BlackRock Fund Advisors","F",2018-03-29,136.02,2000-05-22,99.73,0,0,0,0,0,0.23,0.04,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDYG","G","GROWTH FUNDS","LCGE","Large-Cap Growth Funds",NA,NA,"EQ","UNITED STATES"
"1074",31250,NA,NA,"92193783","BND","Vanguard Bond Index Funds: Vanguard Total Bond Market Index Fund; ETF Shares",2018-03-29,36867.6,NA,"Vanguard Group Inc","F",2018-03-29,79.87,2007-04-03,0,0,0,28.95,0.96,46.47,-0.03,0.19,0,0.51,22.88,0,0.08,"Y","N","Y","D","N",NA,"I","IID","CORE BOND FUNDS","IID","Core Bond Funds",NA,NA,"TX",NA
"105",16467,500598,56810,"46428780","IJR","iShares Trust: iShares Core S&P Small-Cap ETF",2018-03-29,36416.7,596,"BlackRock Fund Advisors","F",2018-03-29,77.05,2000-05-22,99.91,0,0,0,0,0,0.14,-0.05,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDCS","SG","SMALL-CAP FUNDS","SCCE","Small-Cap Core Funds",NA,NA,"EQ","UNITED STATES"
"93",16446,500586,56763,"46428759","IWD","iShares Trust: iShares Russell 1000 Value ETF",2018-03-29,36230.1,682,"BlackRock Fund Advisors","F",2018-03-29,119.95,2000-05-22,99.83,0,0,0,0,0,0.31,-0.14,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDYG","G","GROWTH FUNDS","MLVE","Multi-Cap Value Funds",NA,NA,"EQ","UNITED STATES"
"1001",29218,NA,NA,"78463V10","GLD","SPDR Gold Trust: SPDR Gold Shares",2018-03-29,36002.1,NA,"State Street Bank and Trust Company","F",2018-03-29,125.5302,2004-11-18,0,0,0,0,0,0,100,0,0,0,0,0,0,"Y","N","Y","B","N",NA,"EDSC","CMD","COMMODITIES FUNDS","CMP","Commodities Precious Metals Funds",NA,NA,"EQ",NA
"3",31464,103521,62164,"92290874","VTV","Vanguard Index Funds: Vanguard Value Index Fund; ETF Shares",2018-03-29,35747.1,300,"Vanguard Group Inc","F",2018-03-29,103.11,2004-01-26,99.79,0,0,0.13,0,0.07,0,0.02,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDYB","GI","GROWTH & INCOME FUNDS","LCVE","Large-Cap Value Funds",NA,NA,"EQ","UNITED STATES"
"2",31463,103520,62160,"92290873","VUG","Vanguard Index Funds: Vanguard Growth Index Fund; ETF Class Shares",2018-03-29,32656.1,355,"Vanguard Group Inc","F",2018-03-29,141.86,2004-01-26,99.53,0,0,0.3,0,0.14,-0.01,0.04,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDYG","G","GROWTH FUNDS","LCGE","Large-Cap Growth Funds",NA,NA,"EQ","UNITED STATES"
"534",16419,600530,75725,"46428724","LQD","iShares Trust: iShares iBoxx $ Investment Grade Corporate Bond ETF",2018-03-29,32013.5,1,"BlackRock Fund Advisors","F",2018-03-29,117.14,2002-07-22,0,0,0,99.61,0,0,0.84,-0.57,0,0,0,0,0.11,"Y","N","Y","D","N",NA,"ICQY","BBB","CORPORATE DEBT FUNDS BBB-RATED","BBB","Corporate Debt Funds BBB-Rated",NA,NA,"TX","UNITED STATES"
"80",28277,500491,50443,"81369Y60","XLF","Select Sector SPDR Trust: Financial Select Sector SPDR Fund",2018-03-29,31882.2,82,"State Street Bank and Trust Company","F",2018-03-29,27.5489,1998-12-16,99.76,0,0,0,0,0.18,0,0.07,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDSF","FS","FINANCIAL SERVICES FUNDS","FS","Financial Services Funds",NA,NA,"EQ","UNITED STATES"
"8",31446,105783,1085,"92290855","VNQ","Vanguard Specialized Funds: Vanguard Real Estate Index Fund; ETF Shares",2018-03-29,29401.8,137,"Vanguard Group Inc","F",2018-03-29,75.48,2004-09-23,99.7,0,0,0.18,0,0.08,-0.02,0.02,0,0,0,0.02,0,"Y","N","Y","D","N",NA,"EDSR","RE","REAL ESTATE FUNDS","RE","Real Estate Funds",NA,NA,"EQ","UNITED STATES"
"255",31190,501123,80973,"92190884","VIG","Vanguard Specialized Funds: Vanguard Dividend Appreciation Index Fund; ETF Class Shares",2018-03-29,27096,162,"Vanguard Group Inc","F",2018-03-29,101.05,2006-04-21,99.87,0,0,0.08,0,0.04,0,0.01,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDYI","EI","EQUITY INCOME FUNDS","EIEI","Equity Income Funds",NA,NA,"EQ","UNITED STATES"
"527",16413,600396,39773,"46428717","TIP","iShares Trust: iShares TIPS Bond ETF",2018-03-29,24620.5,1,"BlackRock Fund Advisors","F",2018-03-29,113.04,2003-12-04,0,0,0,0,0,99.89,1.06,-0.95,0,0,0,0,0,"Y","N","Y","D","N",NA,"IGT","IUT","INFLATION PROTECTED BOND FUNDS","IUT","Inflation Protected Bond Funds",NA,NA,"TX","UNITED STATES"
"1073",31249,NA,NA,"92193782","BSV","Vanguard Bond Index Funds: Vanguard Short-Term Bond Index Fund; ETF Shares",2018-03-29,24461.2,NA,"Vanguard Group Inc","F",2018-03-29,78.45,2007-04-03,0,0,0,28.32,0.54,70.93,0.07,0.09,0,0.01,0,0,0.05,"Y","N","Y","D","N",NA,"I","SID","SHORT INVESTMENT GRADE DEBT FUNDS","SID","Short Investment Grade Debt Funds",NA,NA,"TX",NA
"337",31343,501250,81303,"92204277","VEU","Vanguard International Equity Index Funds: Vanguard FTSE All-World ex US Index Fund; ETF Shares",2018-03-29,23446.1,224,"Vanguard Group Inc","F",2018-03-29,54.21,2007-03-02,90.5,0.89,0,0.06,0,0.06,0.91,1.69,0,0.01,0.01,5.86,0,"Y","N","Y","D","N",NA,"EF","IF","INTERNATIONAL FUNDS","IMLC","International Multi-Cap Core",NA,NA,"EQ","UNITED STATES"
"9",31452,107160,2934,"92290862","VO","Vanguard Index Funds: Vanguard Mid-Cap Index Fund; ETF Shares",2018-03-29,22303.8,361,"Vanguard Group Inc","F",2018-03-29,154.17,2004-01-26,99.57,0,0,0.27,0,0.14,-0.01,0.04,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDCM","MC","MID-CAP FUNDS","MCCE","Mid-Cap Core Funds",NA,NA,"EQ","UNITED STATES"
"1",31465,102224,62181,"92290875","VB","Vanguard Index Funds: Vanguard Small-Cap Index Fund; ETF Shares",2018-03-29,21870.7,1457,"Vanguard Group Inc","F",2018-03-29,146.96,2004-01-26,98.28,0,0,1.02,0,0.48,0.07,0.13,0,0,0,0.01,0,"Y","N","Y","D","N",NA,"EDCS","SG","SMALL-CAP FUNDS","SCCE","Small-Cap Core Funds",NA,NA,"EQ","UNITED STATES"
"508",16403,600235,12497,"46434G82","EWJ","iShares, Inc: iShares MSCI Japan ETF",2018-03-29,21180.8,2,"BlackRock Fund Advisors","F",2018-03-29,59.91,1996-03-12,99.37,0,0,0,0,0,0.41,0.22,0,0,0,0,0,"Y","N","Y","D","N",NA,"EFRJ","JA","JAPANESE FUNDS","JA","Japanese Funds",NA,NA,"EQ","UNITED STATES"
"84",9091,500508,51378,"78467X10","DIA","SPDR Dow Jones Industrial Average ETF Trust",2018-03-29,21033.9,29,"State Street Bank and Trust Company","F",2018-03-29,240.8201,1998-01-14,100.24,0,0,0,0,0,0,-0.24,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDYG","G","GROWTH FUNDS","LCCE","Large-Cap Core Funds",NA,NA,"EQ","UNITED STATES"
"1833",47652,NA,NA,"92206C40","VCSH","Vanguard Scottsdale Funds: Vanguard Short-Term Corporate Bond Index Fund; ETF Class Shares",2018-03-29,20884.8,NA,"Vanguard Group Inc","F",2018-03-29,78.38,2009-11-19,0,0,0,99.31,0.01,0.29,0.22,0.03,0,0.03,0,0,0.11,"Y","N","Y","D","N",NA,"I","SII","SHORT-INTMDT INVESTMENT GRADE DEBT FUNDS","SII","Short-Intmdt Investment Grade Debt Funds",NA,NA,"TX",NA
"298",31273,501189,81108,"92194640","VYM","Vanguard Whitehall Funds: Vanguard High Dividend Yield Index Fund; ETF Shares",2018-03-29,20272.6,381,"Vanguard Group Inc","F",2018-03-29,82.49,2006-11-10,99.45,0,0,0.31,0,0.17,0.03,0.04,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDYI","EI","EQUITY INCOME FUNDS","EIEI","Equity Income Funds",NA,NA,"EQ","UNITED STATES"
"82",28279,500493,50445,"81369Y80","XLK","Select Sector SPDR Trust: Technology Select Sector SPDR Fund",2018-03-29,20235.5,71,"State Street Bank and Trust Company","F",2018-03-29,65.4435,1998-12-16,99.73,0,0,0,0,0.12,0,0.15,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDST","TK","SCIENCE & TECHNOLOGY FUNDS","TK","Science & Technology Funds",NA,NA,"EQ","UNITED STATES"
"107",16422,500600,56813,"46428730","IVW","iShares Trust: iShares S&P 500 Growth ETF",2018-03-29,20068.8,330,"BlackRock Fund Advisors","F",2018-03-29,155.03,2000-05-22,99.68,0,0,0,0,0,0.27,0.04,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDYG","G","GROWTH FUNDS","LCGE","Large-Cap Growth Funds",NA,NA,"EQ","UNITED STATES"
"1002",29218,NA,NA,"86330710","GLD","streetTRACKS Gold Trust: streetTRACKS Gold Shares",2008-02-29,19966.6,NA,"STATE STREET BANK & TRUST CO/IFTC","F",2008-03-31,92.1174264,2004-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","N","Y","B","N",NA,"EDSG","AU","GOLD ORIENTED FUNDS","AU","Gold Oriented Funds",NA,NA,"EQ",NA
"120",20585,500617,57263,"78467Y10","MDY","SPDR S&P MidCap 400 ETF",2018-03-29,19548.2,396,"State Street Bank and Trust Company","F",2018-03-29,341.52,1995-04-28,99.72,0,0,0,0,0,0,0.28,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDCM","MC","MID-CAP FUNDS","MCCE","Mid-Cap Core Funds",NA,NA,"EQ","UNITED STATES"
"102",16449,500595,56804,"46428762","IWB","iShares Trust: iShares Russell 1000 ETF",2018-03-29,19412.7,1011,"BlackRock Fund Advisors","F",2018-03-29,146.79,2000-05-15,99.65,0,0,0,0,0,0.28,0.07,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDYG","G","GROWTH FUNDS","LCCE","Large-Cap Core Funds",NA,NA,"EQ","UNITED STATES"
"40",31352,500223,12491,"92204287","VGK","Vanguard International Equity Index Funds: Vanguard European Stock Index Fund; Vanguard FTSE Europe ETF",2018-03-29,18822.1,23,"Vanguard Group Inc","F",2018-03-29,58.14,2005-03-04,95.18,1.02,0,0.59,0,0.34,0.09,0.08,0,0,0,2.7,0,"Y","N","Y","D","N",NA,"EFRE","EU","EUROPEAN REGION FUNDS","EU","European Region Funds",NA,NA,"EQ","UNITED STATES"
"741",47653,NA,NA,"92206C87","VCIT","Vanguard Scottsdale Funds: Vanguard Intermediate-Term Corporate Bond Index Fund; ETF Class Shares",2018-03-29,18647.6,NA,"Vanguard Group Inc","F",2018-03-29,84.64,2009-11-19,0,0,0,98.29,0,1.42,-0.03,0.13,0,0,0,0,0.19,"Y","N","Y","D","N",NA,"ICQY","BBB","CORPORATE DEBT FUNDS BBB-RATED","BBB","Corporate Debt Funds BBB-Rated",NA,NA,"TX",NA
"86",24697,500522,52877,"63110010",NA,"Nasdaq-100 Trust, Series 1",2007-06-29,18374.9,96,"BANK OF NEW YORK","F",2007-06-29,47.54,1999-03-10,100,0,0,0,0,0,0,0,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDYG","G","GROWTH FUNDS","MLGE","Multi-Cap Growth Funds",NA,NA,"EQ","UNITED STATES"
"27",31359,400186,42974,"92204A70","VGT","Vanguard World Funds: Vanguard Information Technology Index Fund; ETF Class Shares",2018-03-29,18119.8,387,"Vanguard Group Inc","F",2018-03-29,171.05,2004-01-26,99.69,0,0,0.2,0,0.09,-0.01,0.03,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDST","TK","SCIENCE & TECHNOLOGY FUNDS","TK","Science & Technology Funds",NA,NA,"EQ","UNITED STATES"
"79",28276,500490,50442,"81369Y50","XLE","Select Sector SPDR Trust: Energy Select Sector SPDR Fund",2018-03-29,17403.6,42,"State Street Bank and Trust Company","F",2018-03-29,67.4235,1998-12-16,100.81,0,0,0,0,0.01,0,-0.82,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDSN","NR","NATURAL RESOURCES FUNDS","NR","Natural Resources Funds",NA,NA,"EQ","UNITED STATES"
"146",16436,500706,64309,"46428749","IWR","iShares Trust: iShares Russell Mid-Cap ETF",2018-03-29,16988.2,809,"BlackRock Fund Advisors","F",2018-03-29,206.42,2001-07-17,99.87,0,0,0,0,0,0.08,0.05,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDCM","MC","MID-CAP FUNDS","MCCE","Mid-Cap Core Funds",NA,NA,"EQ","UNITED STATES"
"22",16412,338387,38387,"46428716","DVY","iShares Trust: iShares Select Dividend ETF",2018-03-29,16736.1,98,"BlackRock Fund Advisors","F",2018-03-29,95.15,2003-11-03,99.83,0,0,0,0,0,0.11,0.06,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDYI","EI","EQUITY INCOME FUNDS","EIEI","Equity Income Funds",NA,NA,"EQ","UNITED STATES"
"560",16492,600732,81679,"46428868","PFF","iShares Trust: iShares US Preferred Stock ETF",2018-03-29,16604.4,122,"BlackRock Fund Advisors","F",2018-03-29,37.55,2007-03-26,0,39.32,0,1.3,0,0.12,6.07,-0.22,0,0,0.07,53.3,0.02,"Y","N","Y","D","N",NA,"I","FLX","FLEXIBLE INCOME FUNDS","FLX","Flexible Income Funds",NA,NA,"TX","UNITED STATES"
"196",29241,500967,80562,"78464A76","SDY","SPDR Series Trust: SPDR S&P Dividend ETF",2018-03-29,15402.8,96,"State Street Bank and Trust Company","F",2018-03-29,91.1928,2005-11-08,91.91,0,0,0,0,0.34,0,7.76,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDYI","EI","EQUITY INCOME FUNDS","EIEI","Equity Income Funds",NA,NA,"EQ","UNITED STATES"
"78",28273,500489,50441,"81369Y20","XLV","Select Sector SPDR Trust: Health Care Select Sector SPDR Fund",2018-03-29,15315.4,52,"State Street Bank and Trust Company","F",2018-03-29,81.2422,1998-12-16,99.53,0,0,0,0,0.08,0,0.38,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDSH","H","HEALTH/BIOTECHNOLOGY FUNDS","H","Health/Biotechnology Funds",NA,NA,"EQ","UNITED STATES"
"1072",31248,NA,NA,"92193781","BIV","Vanguard Bond Index Funds: Vanguard Intermediate-Term Bond Index Fund; ETF Shares",2018-03-29,15192.1,NA,"Vanguard Group Inc","F",2018-03-29,81.74,2007-04-03,0,0,0,41.96,0.55,57.36,-0.02,0.06,0,0,0,0,0.07,"Y","N","Y","D","N",NA,"I","IID","CORE BOND FUNDS","IID","Core Bond Funds",NA,NA,"TX",NA
"727",47616,NA,NA,"80852480","SCHF","Schwab Strategic Trust: Schwab International Equity ETF",2018-03-29,14714.6,NA,"Charles Schwab Investment Management Inc","F",2018-03-29,33.4194,2009-10-30,94.48,0.78,0,0,0,0.12,1.24,0.11,0,0,0,3.27,0,"Y","N","Y","D","N",NA,"EF","IF","INTERNATIONAL FUNDS","IMLC","International Multi-Cap Core",NA,NA,"EQ",NA
"98",16429,500592,56775,"46428740","IVE","iShares Trust: iShares S&P 500 Value ETF",2018-03-29,14616.6,326,"BlackRock Fund Advisors","F",2018-03-29,109.32,2000-05-22,99.85,0,0,0,0,0,0.26,-0.11,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDYG","G","GROWTH FUNDS","LCVE","Large-Cap Value Funds",NA,NA,"EQ","UNITED STATES"
"20",27416,333058,33058,"78355W10","RSP","Rydex ETF Trust: Guggenheim S&P 500 Equal Weight ETF",2018-03-29,14578.6,484,"Guggenheim Investments","F",2018-03-29,99.4771,2003-04-24,99.89,0,0,0,0,0.06,0,0.05,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDYG","G","GROWTH FUNDS","MLCE","Multi-Cap Core Funds",NA,NA,"EQ","UNITED STATES"
"2427",53279,NA,NA,"46429B69","USMV","iShares Trust: iShares Edge MSCI Min Vol USA ETF",2018-03-29,14236.9,NA,"BlackRock Fund Advisors","F",2018-03-29,51.94,2011-10-18,99.7,0,0,0,0,0,0.22,0.08,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDYG","G","GROWTH FUNDS","MLCE","Multi-Cap Core Funds",NA,NA,"EQ",NA
"91",16388,500579,55899,"46428660","EZU","iShares, Inc: iShares MSCI Eurozone ETF",2018-03-29,14200.3,9,"BlackRock Fund Advisors","F",2018-03-29,43.29,2000-07-25,95.76,1.92,0,0,0,0,0.04,0.31,0,0,0,1.96,0,"Y","N","Y","D","N",NA,"EFRE","EU","EUROPEAN REGION FUNDS","EU","European Region Funds",NA,NA,"EQ","UNITED STATES"
"580",16481,600779,87953,"46428851","HYG","iShares Trust: iShares iBoxx $ High Yield Corporate Bond ETF",2018-03-29,14115.5,1,"BlackRock Fund Advisors","F",2018-03-29,85.29,2007-04-04,0,0,0,98.97,0,0,1.55,-0.82,0,0,0,0,0.29,"Y","N","Y","D","N",NA,"I","HY","HIGH YIELD FUNDS","HY","High Yield Funds",NA,NA,"TX","UNITED STATES"
"507",16403,600235,12497,"46428684","EWJ","iShares, Inc: iShares MSCI Japan ETF",2016-09-30,14035.7,2,"BlackRock Fund Advisors","F",2016-09-30,12.46,1996-03-12,98.71,0,0,0,0,0,1.55,-0.27,0,0,0,0,0,"Y","N","Y","D","N",NA,"EFRJ","JA","JAPANESE FUNDS","JA","Japanese Funds",NA,NA,"EQ","UNITED STATES"
"14",16411,200193,41073,"46428715","ITOT","iShares Trust: iShares Core S&P Total US Stock Market ETF",2018-03-29,12948.6,1473,"BlackRock Fund Advisors","F",2018-03-29,60.42,2004-01-20,99.82,0,0,0,0,0,0.3,-0.12,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDYG","G","GROWTH FUNDS","MLCE","Multi-Cap Core Funds",NA,NA,"EQ","UNITED STATES"
"88",28275,500528,53281,"81369Y40","XLY","Select Sector SPDR Trust: Consumer Discretionary Select Sector SPDR Fund",2018-03-29,12797.6,84,"State Street Bank and Trust Company","F",2018-03-29,101.3243,1998-12-16,97.68,0,0,0,0,0.12,0,2.19,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDSS","CS","CONSUMER SERVICES FUNDS","CS","Consumer Services Funds",NA,NA,"EQ","UNITED STATES"
"81",28278,500492,50444,"81369Y70","XLI","Select Sector SPDR Trust: Industrial Select Sector SPDR Fund",2018-03-29,12760,63,"State Street Bank and Trust Company","F",2018-03-29,74.3047,1998-12-16,100.06,0,0,0,0,0.07,0,-0.13,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDSI","ID","INDUSTRIALS FUNDS","ID","Industrials Funds",NA,NA,"EQ","UNITED STATES"
"10",31451,108121,2932,"92290861","VBR","Vanguard Index Funds: Vanguard Small-Cap Value Index Fund; ETF Class Shares",2018-03-29,12698.4,807,"Vanguard Group Inc","F",2018-03-29,129.4,2004-01-26,98.93,0,0,0.55,0,0.26,0.17,0.07,0,0,0,0.01,0,"Y","N","Y","D","N",NA,"EDCS","SG","SMALL-CAP FUNDS","SCVE","Small-Cap Value Funds",NA,NA,"EQ","UNITED STATES"
"581",43560,600780,87954,"46428858","MBB","iShares Trust: iShares MBS ETF",2018-03-29,12287.5,1,"BlackRock Fund Advisors","F",2018-03-29,104.66,2007-03-13,0,0,0,15.53,0.41,2.01,1.22,-20.45,0,0,96.51,0,4.97,"Y","N","Y","D","N",NA,"OM","USM","U.S. MORTGAGE FUNDS","USM","U.S. Mortgage Funds",NA,NA,"TX","UNITED STATES"
"613",36536,600827,89388,"46428828","EMB","iShares Trust: iShares JPMorgan USD Emerging Markets Bond ETF",2018-03-29,12014.8,1,"BlackRock Fund Advisors","F",2018-03-29,112.39,2007-12-17,0,0,0,11.03,0,88.04,0.32,0.15,0,0,0,0,0.47,"Y","N","Y","D","N",NA,"IF","EMD","EMERGING MRKTS HARD CURRENCY DEBT FUNDS","EMD","Emerging Mrkts Hard Currency Debt Funds",NA,NA,"TX","UNITED STATES"
"725",47614,NA,NA,"80852420","SCHX","Schwab Strategic Trust: Schwab US Large-Cap ETF",2018-03-29,11917.3,NA,"Charles Schwab Investment Management Inc","F",2018-03-29,63.0545,2009-11-03,99.71,0,0,0,0,0.07,0.18,0.05,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDYG","G","GROWTH FUNDS","LCCE","Large-Cap Core Funds",NA,NA,"EQ",NA
