date,drivers KSI,petrol price
1976-01-01,1473,0.1138
1976-02-01,1655,0.1123
1976-03-01,1407,0.1118
1976-04-01,1395,0.1096
1976-05-01,1530,0.1084
1976-06-01,1309,0.1079
1976-07-01,1526,0.1091
1976-08-01,1327,0.1076
1976-09-01,1627,0.1062
1976-10-01,1748,0.1063
1976-11-01,1958,0.1048
1976-12-01,2274,0.1035
1977-01-01,1648,0.1014
1977-02-01,1401,0.1004
1977-03-01,1411,0.0989
1977-04-01,1403,0.1025
1977-05-01,1394,0.103
1977-06-01,1520,0.1022
1977-07-01,1528,0.0998
1977-08-01,1643,0.0926
1977-09-01,1515,0.0918
1977-10-01,1685,0.0907
1977-11-01,2000,0.09
1977-12-01,2215,0.0893
1978-01-01,1956,0.0884
1978-02-01,1462,0.0884
1978-03-01,1563,0.0868
1978-04-01,1459,0.085
1978-05-01,1446,0.0846
1978-06-01,1622,0.0844
1978-07-01,1657,0.0844
1978-08-01,1638,0.0836
1978-09-01,1643,0.0834
1978-10-01,1683,0.0827
1978-11-01,2050,0.0852
1978-12-01,2262,0.0848
1979-01-01,1813,0.0845
1979-02-01,1445,0.0854
1979-03-01,1762,0.0876
1979-04-01,1461,0.0904
1979-05-01,1556,0.0908
1979-06-01,1431,0.1087
1979-07-01,1427,0.1141
1979-08-01,1554,0.113
1979-09-01,1645,0.1113
1979-10-01,1653,0.1091
1979-11-01,2016,0.1077
1979-12-01,2207,0.1076
1980-01-01,1665,0.1038
1980-02-01,1361,0.1071
1980-03-01,1506,0.1074
1980-04-01,1360,0.1117
1980-05-01,1453,0.1106
1980-06-01,1522,0.1119
1980-07-01,1460,0.1097
1980-08-01,1552,0.1082
1980-09-01,1548,0.1063
1980-10-01,1827,0.1042
1980-11-01,1737,0.1019
1980-12-01,1941,0.1028
1981-01-01,1474,0.1048
1981-02-01,1458,0.104
1981-03-01,1542,0.1167
1981-04-01,1404,0.1152
1981-05-01,1522,0.113
1981-06-01,1385,0.1139
1981-07-01,1641,0.1191
1981-08-01,1510,0.1245
1981-09-01,1681,0.1232
1981-10-01,1938,0.1207
1981-11-01,1868,0.121
1981-12-01,1726,0.117
1982-01-01,1456,0.1128
1982-02-01,1445,0.1081
1982-03-01,1456,0.1088
1982-04-01,1365,0.1113
1982-05-01,1487,0.1113
1982-06-01,1558,0.1155
1982-07-01,1488,0.1148
1982-08-01,1684,0.1172
1982-09-01,1594,0.1191
1982-10-01,1850,0.118
1982-11-01,1998,0.1174
1982-12-01,2079,0.117
1983-01-01,1494,0.1126
1983-02-01,1057,0.1137
1983-03-01,1218,0.1131
1983-04-01,1168,0.1185
1983-05-01,1236,0.118
1983-06-01,1076,0.1177
1983-07-01,1174,0.1201
1983-08-01,1139,0.1194
1983-09-01,1427,0.1189
1983-10-01,1487,0.1185
1983-11-01,1483,0.118
1983-12-01,1513,0.1177
1984-01-01,1357,0.1178
1984-02-01,1165,0.1148
1984-03-01,1282,0.1157
1984-04-01,1110,0.1154
1984-05-01,1297,0.1148
1984-06-01,1185,0.1148
1984-07-01,1222,0.1149
1984-08-01,1284,0.1148
1984-09-01,1444,0.1141
1984-10-01,1575,0.1165
1984-11-01,1737,0.116
1984-12-01,1763,0.1161
